Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_1024_9216_13312_ld_13312_13312_1024,Gemm_Rocblas_-1162085566,11.3213
GemmTunableOp_BFloat16_TN,tn_1024_9216_7168_ld_7168_7168_1024,Gemm_Rocblas_-1162085580,5.33829
GemmTunableOp_BFloat16_TN,tn_1024_9216_5120_ld_5120_5120_1024,Gemm_Rocblas_-1162085566,3.7622
GemmTunableOp_BFloat16_TN,tn_15360_8192_15360_ld_15360_15360_15360,Gemm_Rocblas_-1162085575,164.05
GemmTunableOp_BFloat16_TN,tn_15360_8192_9216_ld_9216_9216_15360,Gemm_Rocblas_-1162085575,88.5445
GemmTunableOp_BFloat16_TN,tn_15360_8192_8192_ld_8192_8192_15360,Default,89.2656
GemmTunableOp_BFloat16_TN,tn_15360_8192_7168_ld_7168_7168_15360,Gemm_Rocblas_-1162085587,67.0193
GemmTunableOp_BFloat16_TN,tn_15360_8192_6144_ld_6144_6144_15360,Gemm_Rocblas_-1162085592,66.8881
GemmTunableOp_BFloat16_TN,tn_15360_8192_5120_ld_5120_5120_15360,Gemm_Rocblas_-1162085587,47.6474
GemmTunableOp_BFloat16_TN,tn_15360_8192_2048_ld_2048_2048_15360,Gemm_Hipblaslt_502,23.7433
GemmTunableOp_BFloat16_TN,tn_14336_8192_15360_ld_15360_15360_14336,Gemm_Rocblas_-1162085575,151.876
GemmTunableOp_BFloat16_TN,tn_14336_8192_13312_ld_13312_13312_14336,Gemm_Rocblas_-1162085575,128.09
GemmTunableOp_BFloat16_TN,tn_14336_8192_12288_ld_12288_12288_14336,Gemm_Rocblas_-1162085575,142.965
GemmTunableOp_BFloat16_TN,tn_14336_8192_11264_ld_11264_11264_14336,Gemm_Rocblas_-1162085575,107.305
GemmTunableOp_BFloat16_TN,tn_14336_8192_10240_ld_10240_10240_14336,Gemm_Rocblas_-1162085587,109.084
GemmTunableOp_BFloat16_TN,tn_14336_8192_9216_ld_9216_9216_14336,Gemm_Rocblas_-1162085587,83.1461
GemmTunableOp_BFloat16_TN,tn_14336_8192_8192_ld_8192_8192_14336,Gemm_Rocblas_-1162085585,85.1296
GemmTunableOp_BFloat16_TN,tn_14336_8192_7168_ld_7168_7168_14336,Default,62.7257
GemmTunableOp_BFloat16_TN,tn_14336_8192_4096_ld_4096_4096_14336,Gemm_Rocblas_-1162085590,42.3189
GemmTunableOp_BFloat16_TN,tn_14336_8192_3072_ld_3072_3072_14336,Gemm_Rocblas_-1162085590,26.9644
GemmTunableOp_BFloat16_TN,tn_14336_8192_1024_ld_1024_1024_14336,Gemm_Rocblas_-1162085569,8.41011
GemmTunableOp_BFloat16_TN,tn_13312_8192_13312_ld_13312_13312_13312,Gemm_Rocblas_-1162085575,117.58
GemmTunableOp_BFloat16_TN,tn_13312_8192_12288_ld_12288_12288_13312,Gemm_Rocblas_-1162085575,131.63
GemmTunableOp_BFloat16_TN,tn_13312_8192_11264_ld_11264_11264_13312,Gemm_Rocblas_-1162085587,96.9826
GemmTunableOp_BFloat16_TN,tn_13312_8192_9216_ld_9216_9216_13312,Default,76.8024
GemmTunableOp_BFloat16_TN,tn_13312_8192_8192_ld_8192_8192_13312,Default,77.3016
GemmTunableOp_BFloat16_TN,tn_13312_8192_5120_ld_5120_5120_13312,Gemm_Rocblas_-1162085592,41.3278
GemmTunableOp_BFloat16_TN,tn_13312_8192_4096_ld_4096_4096_13312,Gemm_Rocblas_-1162085590,38.4811
GemmTunableOp_BFloat16_TN,tn_13312_8192_3072_ld_3072_3072_13312,Gemm_Rocblas_-1162085590,24.7466
GemmTunableOp_BFloat16_TN,tn_13312_8192_1024_ld_1024_1024_13312,Gemm_Rocblas_-1162085569,7.70711
GemmTunableOp_BFloat16_TN,tn_12288_8192_14336_ld_14336_14336_12288,Gemm_Rocblas_-1162085581,147.545
GemmTunableOp_BFloat16_TN,tn_12288_8192_11264_ld_11264_11264_12288,Gemm_Rocblas_-1162085575,91.7598
GemmTunableOp_BFloat16_TN,tn_12288_8192_3072_ld_3072_3072_12288,Gemm_Rocblas_-1162085592,22.4949
GemmTunableOp_BFloat16_TN,tn_11264_8192_15360_ld_15360_15360_11264,Gemm_Rocblas_-1162085575,122.095
GemmTunableOp_BFloat16_TN,tn_11264_8192_14336_ld_14336_14336_11264,Gemm_Rocblas_-1162085575,132.997
GemmTunableOp_BFloat16_TN,tn_11264_8192_12288_ld_12288_12288_11264,Gemm_Rocblas_-1162085575,112.262
GemmTunableOp_BFloat16_TN,tn_11264_8192_11264_ld_11264_11264_11264,Gemm_Rocblas_-1162085587,83.2283
GemmTunableOp_BFloat16_TN,tn_11264_8192_10240_ld_10240_10240_11264,Default,85.2265
GemmTunableOp_BFloat16_TN,tn_1024_9216_1024_ld_1024_1024_1024,Gemm_Rocblas_-1162085578,0.684659
GemmTunableOp_BFloat16_TN,tn_11264_8192_9216_ld_9216_9216_11264,Default,65.5987
GemmTunableOp_BFloat16_TN,tn_11264_8192_6144_ld_6144_6144_11264,Gemm_Rocblas_-1162085592,49.1202
GemmTunableOp_BFloat16_TN,tn_11264_8192_5120_ld_5120_5120_11264,Gemm_Rocblas_-1162085587,34.682
GemmTunableOp_BFloat16_TN,tn_12288_8192_1024_ld_1024_1024_12288,Gemm_Rocblas_-1162085569,7.12427
GemmTunableOp_BFloat16_TN,tn_11264_8192_4096_ld_4096_4096_11264,Gemm_Rocblas_-1162085592,32.5922
GemmTunableOp_BFloat16_TN,tn_11264_8192_3072_ld_3072_3072_11264,Gemm_Rocblas_-1162085592,20.7087
GemmTunableOp_BFloat16_TN,tn_10240_8192_14336_ld_14336_14336_10240,Gemm_Rocblas_-1162085580,122.692
GemmTunableOp_BFloat16_TN,tn_10240_8192_13312_ld_13312_13312_10240,Gemm_Rocblas_-1162085580,91.8919
GemmTunableOp_BFloat16_TN,tn_10240_8192_11264_ld_11264_11264_10240,Gemm_Rocblas_-1162085575,77.1178
GemmTunableOp_BFloat16_TN,tn_10240_8192_9216_ld_9216_9216_10240,Default,59.8549
GemmTunableOp_BFloat16_TN,tn_10240_8192_7168_ld_7168_7168_10240,Default,43.9393
GemmTunableOp_BFloat16_TN,tn_10240_8192_6144_ld_6144_6144_10240,Gemm_Rocblas_-1162085592,46.1657
GemmTunableOp_BFloat16_TN,tn_10240_8192_5120_ld_5120_5120_10240,Default,31.7722
GemmTunableOp_BFloat16_TN,tn_10240_8192_3072_ld_3072_3072_10240,Gemm_Rocblas_-1162085592,19.2271
GemmTunableOp_BFloat16_TN,tn_10240_8192_1024_ld_1024_1024_10240,Gemm_Rocblas_-1162085569,6.15428
GemmTunableOp_BFloat16_TN,tn_9216_8192_14336_ld_14336_14336_9216,Gemm_Rocblas_-1162085581,110.432
GemmTunableOp_BFloat16_TN,tn_9216_8192_13312_ld_13312_13312_9216,Gemm_Rocblas_-1162085575,82.9554
GemmTunableOp_BFloat16_TN,tn_9216_8192_10240_ld_10240_10240_9216,Gemm_Rocblas_-1162085587,71.0015
GemmTunableOp_BFloat16_TN,tn_9216_8192_8192_ld_8192_8192_9216,Gemm_Rocblas_-1162085584,54.3594
